order_id,order_date,sku_id,product_name,final_ak_price,units_sold,quantity,customer_id,placed_gmv
134023,2022-05-17 14:17:42,61021fdb38,Patanjali's Saundarya Aloe Vera Gel 60ml,38.52,18,1,99710,693.36
134023,2022-05-17 14:17:42,617015f1a2,Nihar Shanti Naturals Hair Oil 30ml,7.8,24,2,99710,374.4
133725,2022-05-17 02:33:10,e027dcae6e,Unibic Choco Kiss Cookies 30g,8.6,48,1,107029,412.8
133725,2022-05-17 02:33:10,1b0edfcb1f,Unibic Cookies Cashew Badam 60g,8.6,48,1,107029,412.8
133725,2022-05-17 02:33:10,fd3087bbb8,Unibic Fruit & Nut Cookies 37.5g,8.6,48,1,107029,412.8
133725,2022-05-17 02:33:10,74d02f0196,Unibic Hazelnut Cookies 33g,4.3,48,1,107029,206.4
133725,2022-05-17 02:33:10,5fd1ec222f,Surf Excel Mineral Bar 84g,9.56,12,1,107029,114.72
135177,2022-05-18 18:54:18,619f2e47e1,Clinic Plus Strong & Long Sachet 960X6ml,710,1,5,86321,3550
162062,2022-06-21 00:07:24,616cfed6f7,Colgate Herbal Toothpaste 100g,62.5,18,1,89180,1125
138713,2022-05-23 11:54:05,607984e386,Pond's Pure Detox Anti-Pollution Purity Facewash 50g,84.74,36,1,87382,3050.64
138713,2022-05-23 11:54:05,607d7cc186,Pond's Pure Detox Anti-Pollution Purity Facewash 100g,161.03,12,2,87382,3864.72
138713,2022-05-23 11:54:05,6039f87cae,Patanjali Dant Kanti Dental Cream 20g 12U + 1U Free,8.21,36,1,87382,295.56
134859,2022-05-18 14:56:29,619f2e47e1,Clinic Plus Strong & Long Sachet 960X6ml,710,1,4,110584,2840
118031,2022-05-02 21:29:42,5f84262b89,Johnson's Baby Oil 100ml,98.63,6,1,72211,591.78
118031,2022-05-02 21:29:42,60dec56d3e,Garnier Bright Complete Vitamin C Face Wash 50g,61.34,6,1,72211,368.04
118031,2022-05-02 21:29:42,5fd1eed981,Closeup Deep Action Red Hot Gel Toothpaste 48g,16.3,48,1,72211,782.4
118031,2022-05-02 21:29:42,61c70001ab,Bajaj Almond Drops Hair Oil 190ml,119.91,24,1,72211,2877.84
118031,2022-05-02 21:29:42,5f84273389,Johnson's Baby Shampoo 100ml,81.22,6,1,72211,487.32
118031,2022-05-02 21:29:42,60d95e6dc0,Nihar Shanti Amla Hair Oil 75ml,16.41,36,1,72211,590.76
118031,2022-05-02 21:29:42,60e6f4097f,Kesh King Anti Hairfall Shampoo 200ml,112.4,12,1,72211,1348.8
118031,2022-05-02 21:29:42,6031046489,"Whisper Sanitary Pads - Ultra Clean XL+ , 7 Pads",64.26,18,1,72211,1156.68
118031,2022-05-02 21:29:42,619f63f527,Keo Karpin Hair Oil 200ml,89.1,6,2,72211,1069.2
118031,2022-05-02 21:29:42,619f2e47e1,Clinic Plus Strong & Long Sachet 960U X 6ml,714,1,1,72211,714
118031,2022-05-02 21:29:42,6098c7aec7,Dove Daily Shine Shampoo 80ml,60.24,6,1,72211,361.44
162532,2022-06-21 14:54:41,619f2e47e1,Clinic Plus Strong & Long Sachet 960X6ml,712,1,4,69236,2848
156194,2022-06-13 16:47:05,619f2e47e1,Clinic Plus Strong & Long Sachet 960X6ml,712,1,20,56355,14240
156194,2022-06-13 16:47:05,5b9724c407,Lizol All In 1 Disinfectant Surface & Floor Cleaner Lavender 1L,175,8,2,56355,2800
156194,2022-06-13 16:47:05,60eeb3fa9b,Cherry Blossom Wax Shoe Polish Black 40g,59.29,18,1,56355,1067.22
150642,2022-06-06 17:33:30,614d509364,Laser Sports 3 Triple Blade Razor -5U,68.2,60,1,63726,4092
136219,2022-05-20 08:10:54,5ff44bcfc6,Himalaya Purifying Neem Facewash 200ml,152.88,6,1,60979,917.28
136219,2022-05-20 08:10:54,623acf6250,Everyuth Naturals Exfoliating Walnut Scrub 100g,99,6,2,60979,1188
136219,2022-05-20 08:10:54,60b08f2398,Tata Tea Premium India ki Chai 500g,193,30,1,60979,5790
136219,2022-05-20 08:10:54,6007f7a5eb,Tata Tea Premium India ki Chai 1kg,345,15,1,60979,5175
136219,2022-05-20 08:10:54,60feae9632,Patanjali Saundarya Face Wash 100g,75.59,6,1,60979,453.54
150053,2022-06-05 22:52:46,6089807319,Patanjali Saundarya Face Wash 60ml,48.6,18,1,76674,874.8
129851,2022-05-11 19:20:40,6188ffce4e,Mother's Recipe Mango Pickle 1kg,92.5,12,1,38673,1110
144773,2022-05-29 18:11:14,619f2e47e1,Clinic Plus Strong & Long Sachet 960X6ml,712,1,1,111950,712
156170,2022-06-13 16:24:21,619f2e47e1,Clinic Plus Strong & Long Sachet 960X6ml,712,1,20,33514,14240
156170,2022-06-13 16:24:21,5f84262b89,Johnson's Baby Oil 100ml,95.11,18,1,33514,1711.98
156170,2022-06-13 16:24:21,60c6f153a6,Clinic Plus Strong & Long Health Shampoo 80ml,44.9,21,1,33514,942.9
134585,2022-05-18 07:14:09,5f89af093a,Patanjali Natural Dant Kanti Dental Cream 200g,87.25,6,1,68283,523.5
134585,2022-05-18 07:14:09,60feb937c4,Stayfree Secure Cottony Wings Regular 20U,76.61,12,1,68283,919.32
134585,2022-05-18 07:14:09,625a56a948,Glucon-D Instant Energy Health Drink Regular Refill 200g Free 50g,47.14,6,1,68283,282.84
134585,2022-05-18 07:14:09,617015f1a2,Nihar Shanti Naturals Hair Oil 30ml,7.8,24,2,68283,374.4
134585,2022-05-18 07:14:09,622497ab6c,"Whisper Choice Ultra Sanitary Pads - With Disposal Bags , XL, 6 Pads",37.08,6,1,68283,222.48
134585,2022-05-18 07:14:09,61bc8e8e37,Dettol Original Cool With Crispy Menthol Soap Bar 40g,8.98,30,1,68283,269.4
134585,2022-05-18 07:14:09,6229bb5266,Margo Original Neem Soap 45g,8.55,12,1,68283,102.6
